Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
56,160000.0,113045,700.0,33,4,14.67,12,0.1,Bachelor's,Self-employed,Single,No,Yes,Auto,No,1
69,93309.0,51454,723.0,18,2,19.9,36,0.11,High School,Part-time,Married,No,No,Home,No,1
46,40209.0,5272,675.0,44,4,2.11,12,0.05,Bachelor's,Full-time,Married,Yes,No,Business,No,0
32,76068.0,142974,628.0,80,2,10.41,36,0.2,High School,Full-time,Single,Yes,No,Home,Yes,1
60,74214.0,14650,621.0,32,2,8.7,24,0.05,Master's,Full-time,Divorced,No,No,Education,No,1
25,110559.0,40930,449.0,2,1,6.59,36,0.05,Bachelor's,Unemployed,Single,Yes,No,Education,No,1
38,79343.0,43853,672.0,28,3,5.64,24,0.05,Bachelor's,Unemployed,Married,No,Yes,Auto,No,1
56,51117.0,7903,662.0,35,1,10.29,24,0.05,High School,Part-time,Married,Yes,Yes,Auto,No,0
36,47893.0,8271,787.0,9,4,5.17,60,0.05,Bachelor's,Part-time,Married,Yes,Yes,Auto,No,0
40,37046.0,91268,636.0,11,2,6.29,36,0.15,Bachelor's,Full-time,Single,Yes,No,Other,No,1
28,49467.0,26439,615.0,27,1,14.04,48,0.08,Bachelor's,Self-employed,Married,No,Yes,Other,No,1
28,70503.0,36620,616.0,36,2,7.27,36,0.05,Bachelor's,Full-time,Single,No,Yes,Education,No,1
41,136624.0,54822,588.0,61,3,3.7,24,0.05,Bachelor's,Full-time,Divorced,No,No,Business,Yes,0
53,37042.0,33045,621.0,43,2,21.03,36,0.19,Bachelor's,Full-time,Single,Yes,No,Education,Yes,1
57,44837.0,94509,572.0,4,1,11.53,24,0.24,Bachelor's,Self-employed,Single,No,No,Education,No,1
41,35595.0,134490,712.0,12,3,20.26,24,0.77,PhD,Self-employed,Single,No,No,Other,Yes,1
20,53643.0,8694,693.0,4,2,3.14,48,0.05,Master's,Full-time,Married,Yes,No,Auto,No,0
39,49791.0,65537,536.0,42,1,16.01,48,0.21,Bachelor's,Part-time,Single,Yes,No,Other,No,1
19,15629.0,27933,668.0,9,4,20.01,24,0.36,High School,Part-time,Single,No,No,Auto,No,1
41,42266.0,57519,754.0,3,3,17.32,36,0.24,Master's,Full-time,Single,No,No,Home,No,1
61,18242.0,44688,749.0,3,2,20.55,60,0.5,High School,Unemployed,Single,No,No,Other,No,1
47,15935.0,29358,571.0,3,2,4.47,36,0.08,High School,Full-time,Divorced,No,No,Auto,No,1
55,69822.0,10976,773.0,8,3,5.77,48,0.05,Bachelor's,Self-employed,Single,Yes,No,Auto,No,0
19,25474.0,54182,614.0,45,2,5.5,36,0.12,Bachelor's,Full-time,Single,No,Yes,Business,No,1
38,29577.0,12180,661.0,8,2,15.96,36,0.07,Master's,Self-employed,Married,No,Yes,Auto,No,1
50,17318.0,15184,630.0,9,1,23.94,48,0.21,High School,Full-time,Divorced,No,No,Business,No,1
29,21924.0,246630,557.0,63,1,11.13,36,0.95,High School,Self-employed,Married,Yes,Yes,Auto,No,1
39,65776.0,27849,593.0,17,2,22.1,36,0.09,Master's,Unemployed,Married,Yes,No,Business,No,1
61,38810.0,57687,765.0,21,3,21.63,36,0.32,High School,Full-time,Divorced,Yes,Yes,Business,Yes,1
42,89404.0,24066,768.0,0,3,19.86,48,0.05,Bachelor's,Part-time,Single,Yes,No,Auto,No,1
66,32718.0,125375,717.0,2,2,12.56,24,0.48,High School,Full-time,Divorced,Yes,Yes,Business,No,1
44,25952.0,24989,640.0,40,2,9.0,36,0.09,High School,Self-employed,Married,Yes,Yes,Other,No,1
59,29948.0,32426,813.0,12,2,3.23,36,0.05,High School,Full-time,Divorced,No,Yes,Other,No,0
45,58661.0,61248,744.0,4,2,12.54,60,0.13,High School,Part-time,Married,No,No,Home,No,1
33,43339.0,127407,650.0,16,3,21.22,36,0.62,High School,Full-time,Married,No,Yes,Education,No,1
32,97089.0,106639,493.0,1,2,12.58,48,0.14,High School,Part-time,Divorced,No,No,Business,Yes,1
64,47260.0,23380,733.0,37,2,2.04,12,0.05,High School,Self-employed,Divorced,No,No,Auto,No,0
68,38774.0,111160,765.0,2,2,19.5,24,0.56,High School,Part-time,Divorced,Yes,Yes,Education,Yes,1
61,68921.0,77477,696.0,1,4,4.84,12,0.05,High School,Full-time,Single,No,Yes,Auto,No,1
69,118165.0,280289,497.0,16,2,5.62,24,0.13,Bachelor's,Unemployed,Single,No,No,Auto,No,1
20,30393.0,169416,676.0,26,1,7.14,36,0.4,Master's,Full-time,Divorced,No,Yes,Business,No,1
54,25063.0,50703,844.0,43,3,6.27,36,0.13,High School,Full-time,Married,Yes,No,Business,No,1
68,48518.0,88160,646.0,2,3,17.77,12,0.32,Bachelor's,Full-time,Single,Yes,No,Auto,No,1
24,39181.0,55663,826.0,12,1,22.7,24,0.32,High School,Part-time,Single,No,No,Other,No,1
38,160000.0,59231,719.0,9,3,4.58,48,0.05,Bachelor's,Part-time,Single,No,Yes,Home,Yes,0
26,36719.0,11421,664.0,40,4,10.58,36,0.05,High School,Full-time,Single,No,Yes,Education,No,0
